 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.
1,d2c2_fullz_trek1.tif:0938-0548,0.016,31.514,8.893,29,11,53,8.229,14.076,8.234,14.081,0.473
2,d2c2_fullz_trek1.tif:0482-0382,0.015,34.687,8.638,33,15,56,5.74,7.237,5.741,7.235,0.454
3,d2c2_fullz_trek1.tif:0335-0411,0.013,35.246,12.292,21,16,61,6.166,5.022,6.166,5.023,0.434
4,d2c2_fullz_trek1.tif:0869-0495,0.015,37.075,13.161,38,12,65,7.435,13.046,7.437,13.045,0.459
5,d2c2_fullz_trek1.tif:0490-0426,0.015,38.662,20.452,18,13,89,6.396,7.362,6.395,7.36,0.463
6,d2c2_fullz_trek1.tif:0791-0296,0.022,39.758,9.486,39,14,55,4.459,11.882,4.459,11.882,0.586
7,d2c2_fullz_trek1.tif:0248-0445,0.016,39.822,17.238,34,13,81,6.687,3.733,6.686,3.732,0.481
8,d2c2_fullz_trek1.tif:0634-0133,0.011,40.255,19.19,23,15,83,1.993,9.526,1.995,9.526,0.415
9,d2c2_fullz_trek1.tif:0318-0391,0.013,40.464,19.763,40,11,83,5.871,4.786,5.872,4.786,0.422
10,d2c2_fullz_trek1.tif:0219-0646,0.021,41.717,12.23,46,16,72,9.696,3.296,9.693,3.299,0.527
11,d2c2_fullz_trek1.tif:0612-0352,0.011,42.085,26.088,16,9,105,5.293,9.193,5.296,9.189,0.389
12,d2c2_fullz_trek1.tif:0596-0989,0.013,42.862,15.62,19,13,75,14.848,8.956,14.851,8.959,0.434
13,d2c2_fullz_trek1.tif:0380-0146,0.016,43.042,13.472,38,22,74,2.191,5.697,2.194,5.697,0.467
14,d2c2_fullz_trek1.tif:0107-0404,0.014,43.381,13.173,37,15,65,6.07,1.61,6.071,1.612,0.45
15,d2c2_fullz_trek1.tif:0400-0200,0.013,43.589,17.745,25,16,84,3.002,6.004,3.001,6.003,0.425
16,d2c2_fullz_trek1.tif:0214-0253,0.013,44.525,20.419,52,9,91,3.797,3.216,3.803,3.214,0.44
17,d2c2_fullz_trek1.tif:0800-0932,0.012,44.736,21.737,30,18,97,13.991,12.011,13.99,12.01,0.415
18,d2c2_fullz_trek1.tif:0570-0720,0.015,44.754,18.807,24,14,87,10.803,8.561,10.803,8.561,0.451
19,d2c2_fullz_trek1.tif:0940-0430,0.013,44.772,19.179,21,16,86,6.456,14.122,6.457,14.122,0.437
20,d2c2_fullz_trek1.tif:0664-0941,0.012,45.566,15.31,57,16,75,14.122,9.969,14.124,9.969,0.412
21,d2c2_fullz_trek1.tif:0442-0090,0.014,46,21.862,48,11,97,1.344,6.636,1.344,6.635,0.453
22,d2c2_fullz_trek1.tif:0685-0246,0.014,46.217,18.503,44,16,84,3.7,10.279,3.698,10.278,0.443
23,d2c2_fullz_trek1.tif:0571-0564,0.012,46.218,18.858,36,11,85,8.466,8.581,8.47,8.582,0.423
24,d2c2_fullz_trek1.tif:0856-0498,0.012,46.596,20.634,24,11,90,7.475,12.847,7.473,12.848,0.416
25,d2c2_fullz_trek1.tif:0265-0504,0.013,46.75,20.544,47,16,97,7.557,3.981,7.555,3.982,0.424
26,d2c2_fullz_trek1.tif:0467-1018,0.014,46.766,14.836,35,22,74,15.279,7.009,15.277,7.005,0.456
27,d2c2_fullz_trek1.tif:0383-0112,0.016,47.42,17.828,36,19,91,1.685,5.749,1.688,5.749,0.465
28,d2c2_fullz_trek1.tif:0654-0988,0.015,47.925,17.472,23,21,87,14.828,9.818,14.829,9.819,0.467
29,d2c2_fullz_trek1.tif:0858-0876,0.012,48.302,20.084,25,20,91,13.16,12.879,13.16,12.88,0.424
30,d2c2_fullz_trek1.tif:0636-0281,0.013,48.356,21.505,31,16,100,4.22,9.55,4.226,9.55,0.443
31,d2c2_fullz_trek1.tif:0623-0090,0.019,48.988,13.54,31,21,76,1.362,9.355,1.36,9.356,0.572
32,d2c2_fullz_trek1.tif:0678-0122,0.013,49.161,19.81,27,21,95,1.835,10.176,1.835,10.176,0.429
33,d2c2_fullz_trek1.tif:0163-0822,0.013,49.316,15.92,38,23,79,12.346,2.442,12.349,2.44,0.445
34,d2c2_fullz_trek1.tif:0044-0317,0.02,49.584,15.291,54,18,90,4.763,0.662,4.764,0.662,0.532
35,d2c2_fullz_trek1.tif:0391-0142,0.011,49.83,20.14,36,24,93,2.144,5.882,2.144,5.882,0.396
36,d2c2_fullz_trek1.tif:0110-0288,0.012,50.075,23.858,28,14,104,4.33,1.657,4.329,1.657,0.426
37,d2c2_fullz_trek1.tif:0251-0527,0.012,50.283,23.002,37,15,102,7.912,3.767,7.916,3.769,0.418
38,d2c2_fullz_trek1.tif:0206-0603,0.011,50.292,23.507,34,18,99,9.061,3.1,9.06,3.104,0.394
39,d2c2_fullz_trek1.tif:0064-0415,0.012,50.846,20.12,40,16,93,6.227,0.969,6.227,0.972,0.408
40,d2c2_fullz_trek1.tif:0602-0328,0.016,51.203,19.278,27,19,91,4.924,9.037,4.925,9.04,0.457
41,d2c2_fullz_trek1.tif:0421-0374,0.014,52,20.81,62,20,97,5.62,6.317,5.618,6.319,0.459
42,d2c2_fullz_trek1.tif:0255-0438,0.021,52.38,17.18,35,22,97,6.576,3.827,6.577,3.834,0.532
43,d2c2_fullz_trek1.tif:0067-0367,0.012,52.462,19.017,42,20,88,5.509,1.004,5.51,1.006,0.417
44,d2c2_fullz_trek1.tif:0290-0529,0.01,52.911,30.265,19,10,114,7.939,4.352,7.939,4.351,0.379
45,d2c2_fullz_trek1.tif:0274-0856,0.014,52.922,19.095,33,25,95,12.847,4.126,12.846,4.125,0.455
46,d2c2_fullz_trek1.tif:0892-0662,0.013,52.948,20.583,40,22,101,9.94,13.4,9.941,13.399,0.437
47,d2c2_fullz_trek1.tif:0398-0127,0.011,53.875,21.03,35,24,100,1.91,5.987,1.912,5.988,0.401
48,d2c2_fullz_trek1.tif:0561-1197,0.011,54.204,25.046,39,16,109,17.969,8.423,17.971,8.424,0.395
49,d2c2_fullz_trek1.tif:0112-0609,0.02,54.568,18.967,60,23,97,9.143,1.672,9.144,1.673,0.535
50,d2c2_fullz_trek1.tif:0628-0312,0.014,54.73,20.642,54,21,91,4.689,9.434,4.689,9.435,0.46
51,d2c2_fullz_trek1.tif:0319-0073,0.016,54.761,18.737,32,27,104,1.089,4.79,1.09,4.783,0.48
52,d2c2_fullz_trek1.tif:0044-0481,0.015,55.224,22.452,39,13,102,7.22,0.669,7.221,0.673,0.469
53,d2c2_fullz_trek1.tif:0530-0909,0.013,55.246,22.203,30,21,100,13.64,7.955,13.638,7.955,0.439
54,d2c2_fullz_trek1.tif:0669-0316,0.013,55.375,28.179,33,21,124,4.743,10.056,4.742,10.055,0.424
55,d2c2_fullz_trek1.tif:0386-0225,0.014,55.581,20.301,43,19,101,3.371,5.798,3.371,5.799,0.449
56,d2c2_fullz_trek1.tif:0301-0460,0.016,55.75,18.734,30,20,89,6.903,4.521,6.899,4.525,0.485
