 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,cell,channel,XMnm,YMnm,NND_other,NNI_other,NND_self,NNI_self,ball_counts,ball_selfcounts
1,d2c2_fullz_trek1.tif:0938-0548,0.016,31.514,8.893,29,11,53,8.229,14.076,8.234,14.081,0.473,A,TREK,8234.0,14081.0,15.556349186104045,782,719.6721475783261,509,5,1
2,d2c2_fullz_trek1.tif:0482-0382,0.015,34.687,8.638,33,15,56,5.74,7.237,5.741,7.235,0.454,A,TREK,5741.0,7235.0,122.00409829181969,712,173.21951391226105,603,9,7
3,d2c2_fullz_trek1.tif:0335-0411,0.013,35.246,12.292,21,16,61,6.166,5.022,6.166,5.023,0.434,A,TREK,6166.0,5023.0,422.7647099747092,612,287.08883642524313,240,2,5
4,d2c2_fullz_trek1.tif:0869-0495,0.015,37.075,13.161,38,12,65,7.435,13.046,7.437,13.045,0.459,A,TREK,7437.0,13045.0,104.39348638684312,488,200.26232796010336,23,3,5
5,d2c2_fullz_trek1.tif:0490-0426,0.015,38.662,20.452,18,13,89,6.396,7.362,6.395,7.36,0.463,A,TREK,6395.0,7360.0,348.18673151055026,387,168.04761230080004,595,8,6
6,d2c2_fullz_trek1.tif:0791-0296,0.022,39.758,9.486,39,14,55,4.459,11.882,4.459,11.882,0.586,A,TREK,4459.0,11882.0,51.0098029794274,208,159.40200751558933,404,4,5
7,d2c2_fullz_trek1.tif:0248-0445,0.016,39.822,17.238,34,13,81,6.687,3.733,6.686,3.732,0.481,A,TREK,6686.0,3732.0,164.20109622045769,413,149.2816130673835,41,8,7
8,d2c2_fullz_trek1.tif:0634-0133,0.011,40.255,19.19,23,15,83,1.993,9.526,1.995,9.526,0.415,A,TREK,1995.0,9526.0,399.82121004268896,60,425.85091287914366,408,2,2
9,d2c2_fullz_trek1.tif:0318-0391,0.013,40.464,19.763,40,11,83,5.871,4.786,5.872,4.786,0.422,A,TREK,5872.0,4786.0,425.41391608643926,612,377.63077205121937,2,1,6
10,d2c2_fullz_trek1.tif:0219-0646,0.021,41.717,12.23,46,16,72,9.696,3.296,9.693,3.299,0.527,A,TREK,9693.0,3299.0,348.0359176866664,396,201.94306128213466,636,2,5
11,d2c2_fullz_trek1.tif:0612-0352,0.011,42.085,26.088,16,9,105,5.293,9.193,5.296,9.189,0.389,A,TREK,5296.0,9189.0,128.191263352851,573,232.86047324524614,234,5,7
12,d2c2_fullz_trek1.tif:0596-0989,0.013,42.862,15.62,19,13,75,14.848,8.956,14.851,8.959,0.434,A,TREK,14851.0,8959.0,259.25470101813005,633,301.16606714568627,265,6,5
