Distance_(microns),Gray_Value
0.000000,8.194
0.015009,9.800
0.030018,12.011
0.045026,13.811
0.060035,18.943
0.075044,33.241
0.090053,69.200
0.105061,148.270
0.120070,292.343
0.135079,494.489
0.150088,704.093
0.165097,859.381
0.180105,930.578
0.195114,903.053
0.210123,753.410
0.225132,511.500
0.240140,278.875
0.255149,127.649
0.270158,52.833
0.285167,21.262
0.300176,9.667
0.315184,4.500
0.330193,2.433
0.345202,1.478
0.360211,0.600
0.375219,0.611
0.390228,0.088
0.405237,0.000
0.420246,0.000
0.435255,0.056
0.450263,0.167
